diseaseId,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,NofGenes,NofPmids
C0000727,"Abdomen, Acute",phenotype,C23,"Sign or Symptom",2,2
C0000729,"Abdominal Cramps",phenotype,C16,"Sign or Symptom",1,1
C0000731,"Abdomen distended",phenotype,C06,Finding,103,0
C0000734,"Abdominal mass",phenotype,C06,Finding,2,0
C0000735,"Abdominal Neoplasms",group,C04,"Neoplastic Process",13,13
C0000737,"Abdominal Pain",phenotype,C23,"Sign or Symptom",302,93
C0000744,Abetalipoproteinemia,disease,C16;C18,"Disease or Syndrome",65,135
C0000768,"Congenital Abnormality",group,C16,"Congenital Abnormality",1098,1708
C0000771,"Abnormalities, Drug-Induced",group,C16,"Congenital Abnormality",5,5
C0000772,"Multiple congenital anomalies",group,C16,"Congenital Abnormality",251,2219
C0000786,"Spontaneous abortion",phenotype,C13,"Pathologic Function",188,36
C0000809,"Abortion, Habitual",disease,C13,"Disease or Syndrome",7,7
C0000821,"Threatened abortion",phenotype,C13,"Pathologic Function",1,1
C0000822,"Abortion, Tubal",phenotype,C13,"Pathologic Function",109,6
C0000832,"Abruptio Placentae",phenotype,C13,"Pathologic Function",12,11
C0000833,Abscess,phenotype,C23;C01,"Disease or Syndrome",96,76
C0000846,Agenesis,disease,NULL,"Congenital Abnormality",161,270
C0000880,"Acanthamoeba Keratitis",disease,C01;C11,"Disease or Syndrome",22,9
C0000887,Acantholysis,phenotype,C23;C17,"Pathologic Function",11,2
C0000889,"Acanthosis Nigricans",disease,C17,"Disease or Syndrome",64,50
C0000921,"Accidental Falls",phenotype,NULL,"Injury or Poisoning",22,0
C0001075,Achlorhydria,phenotype,C06;C18,"Pathologic Function",5,4
C0001079,Achondrogenesis,disease,C16;C05,"Congenital Abnormality",4,12
C0001080,Achondroplasia,disease,C16;C05,"Congenital Abnormality",46,187
C0001122,Acidosis,phenotype,C18,"Pathologic Function",28,17
C0001125,"Acidosis, Lactic",phenotype,C18,"Disease or Syndrome",209,99
C0001126,"Renal tubular acidosis",phenotype,C16;C18;C13;C12,"Disease or Syndrome",52,52
C0001127,"Acidosis, Respiratory",phenotype,C18;C08,"Disease or Syndrome",13,12
C0001139,"Acinetobacter Infections",group,C01,"Disease or Syndrome",1,1
C0001144,"Acne Vulgaris",disease,C17,"Disease or Syndrome",94,82
C0001145,"Acne Keloid",disease,C17,"Disease or Syndrome",1,1
C0001175,"Acquired Immunodeficiency Syndrome",group,C01;C20,"Disease or Syndrome",243,283
